T,N,method,result,theory,error
1.000000000000000e+00,1000,naive,4.999999999999996e-01,5.000000000000000e-01,8.881784197001252e-14
1.000000000000000e+00,1000,naive_FMA,4.999999999999996e-01,5.000000000000000e-01,8.881784197001252e-14
1.000000000000000e+00,1000,recursive,4.999999999999992e-01,5.000000000000000e-01,1.554312234475219e-13
1.000000000000000e+00,1000,circle_recursive,4.999999999999992e-01,5.000000000000000e-01,1.554312234475219e-13
1.000000000000000e+00,1000,kahan,4.999999999999992e-01,5.000000000000000e-01,1.554312234475219e-13
1.000000000000000e+00,100000,naive,4.999999999999852e-01,5.000000000000000e-01,2.953193245502916e-12
1.000000000000000e+00,100000,naive_FMA,4.999999999999852e-01,5.000000000000000e-01,2.953193245502916e-12
1.000000000000000e+00,100000,recursive,4.999999999999993e-01,5.000000000000000e-01,1.443289932012704e-13
1.000000000000000e+00,100000,circle_recursive,4.999999999999992e-01,5.000000000000000e-01,1.665334536937735e-13
1.000000000000000e+00,100000,kahan,4.999999999999993e-01,5.000000000000000e-01,1.443289932012704e-13
1.000000000000000e+02,10,naive,4.865889626703894e+01,5.000000000000000e+01,2.682207465922115e+00
1.000000000000000e+02,10,naive_FMA,4.865889626703894e+01,5.000000000000000e+01,2.682207465922115e+00
1.000000000000000e+02,10,recursive,4.865889626703894e+01,5.000000000000000e+01,2.682207465922115e+00
1.000000000000000e+02,10,circle_recursive,4.865889626703894e+01,5.000000000000000e+01,2.682207465922115e+00
1.000000000000000e+02,10,kahan,4.865889626703894e+01,5.000000000000000e+01,2.682207465922115e+00
1.000000000000000e+02,1000,naive,4.999999999999989e+01,5.000000000000000e+01,2.109423746787797e-13
1.000000000000000e+02,1000,naive_FMA,4.999999999999989e+01,5.000000000000000e+01,2.109423746787797e-13
1.000000000000000e+02,1000,recursive,4.999999999999991e+01,5.000000000000000e+01,1.665334536937735e-13
1.000000000000000e+02,1000,circle_recursive,4.999999999999992e+01,5.000000000000000e+01,1.554312234475219e-13
1.000000000000000e+02,1000,kahan,4.999999999999992e+01,5.000000000000000e+01,1.554312234475219e-13
1.000000000000000e+02,100000,naive,4.999999999999866e+01,5.000000000000000e+01,2.675637489346627e-12
1.000000000000000e+02,100000,naive_FMA,4.999999999999866e+01,5.000000000000000e+01,2.675637489346627e-12
1.000000000000000e+02,100000,recursive,4.999999999999991e+01,5.000000000000000e+01,1.665334536937735e-13
1.000000000000000e+02,100000,circle_recursive,4.999999999999991e+01,5.000000000000000e+01,1.665334536937735e-13
1.000000000000000e+02,100000,kahan,4.999999999999991e+01,5.000000000000000e+01,1.665334536937735e-13
1.000000000000000e+04,10,naive,4.865889626703894e+03,5.000000000000000e+03,2.682207465922115e+00
1.000000000000000e+04,10,naive_FMA,4.865889626703894e+03,5.000000000000000e+03,2.682207465922115e+00
1.000000000000000e+04,10,recursive,4.865889626703894e+03,5.000000000000000e+03,2.682207465922115e+00
1.000000000000000e+04,10,circle_recursive,4.865889626703894e+03,5.000000000000000e+03,2.682207465922115e+00
1.000000000000000e+04,10,kahan,4.865889626703894e+03,5.000000000000000e+03,2.682207465922115e+00
1.000000000000000e+04,1000,naive,4.999999999999983e+03,5.000000000000000e+03,3.441691376337985e-13
1.000000000000000e+04,1000,naive_FMA,4.999999999999983e+03,5.000000000000000e+03,3.441691376337985e-13
1.000000000000000e+04,1000,recursive,4.999999999999993e+03,5.000000000000000e+03,1.443289932012704e-13
1.000000000000000e+04,1000,circle_recursive,4.999999999999993e+03,5.000000000000000e+03,1.443289932012704e-13
1.000000000000000e+04,1000,kahan,4.999999999999993e+03,5.000000000000000e+03,1.443289932012704e-13
1.000000000000000e+04,100000,naive,4.999999999999707e+03,5.000000000000000e+03,5.861977570020827e-12
1.000000000000000e+04,100000,naive_FMA,4.999999999999707e+03,5.000000000000000e+03,5.861977570020827e-12
1.000000000000000e+04,100000,recursive,4.999999999999993e+03,5.000000000000000e+03,1.443289932012704e-13
1.000000000000000e+04,100000,circle_recursive,4.999999999999993e+03,5.000000000000000e+03,1.443289932012704e-13
1.000000000000000e+04,100000,kahan,4.999999999999992e+03,5.000000000000000e+03,1.665334536937735e-13
