index,elements,time,swaps
0,100,33,1300
1,1000,435,23500
2,10000,5797,312800
3,50000,19896,1986400
4,100000,23688,4222800
5,200000,39812,8945600
6,300000,60884,12504400
7,400000,84878,18891200
8,500000,115472,22143760
9,600000,134992,26508800
10,700000,174673,32069520
11,800000,184622,39782400
12,900000,219344,41038160
13,1000000,222640,46787520
14,2000000,473662,98575040
