index,elements,time,swaps
0,100,42238,209
1,500,231268,1698
2,1000,546502,3969
3,2000,1276233,9063
4,3000,1987160,14476
5,4000,2777724,19702
6,5000,3597499,25952
7,6000,4469199,31969
8,7000,5294044,38592
9,8000,6177457,43750
10,9000,7096044,50896
11,10000,8016040,56709
