index,elements,time,swaps
0,100,31,960
1,1000,409,17120
2,10000,5791,183890
3,50000,17443,1025040
4,100000,21309,2290080
5,200000,34730,5103920
6,300000,51368,7561200
7,400000,72689,11220400
8,500000,93545,14352120
9,600000,112927,16624640
10,700000,138753,16056820
11,800000,172349,24506480
12,900000,179031,22879270
13,1000000,208121,31182280
14,2000000,454317,67706440
