index,elements,time,swaps
0,100,44,650
1,1000,558,11020
2,10000,7267,123610
3,50000,21180,702800
4,100000,25869,1520440
5,200000,44193,3456500
6,300000,71542,5452270
7,400000,98029,6699320
8,500000,126213,9652760
9,600000,153484,10836900
10,700000,200192,12783830
11,800000,206542,14259950
12,900000,255340,15926950
13,1000000,284928,20226870
14,2000000,586123,40989670
